customer_id,customer_segment
1224,"Medium Value"
1225,"Medium Value"
1226,"Medium Value"
1227,"High Value"
1228,"Medium Value"
1229,"Medium Value"
1231,"High Value"
1232,"High Value"
1233,"Medium Value"
1234,"Medium Value"
1235,"High Value"
1236,"Medium Value"
1237,"High Value"
1238,"Medium Value"
1241,"Medium Value"
1242,"Medium Value"
1244,"High Value"
1245,"Medium Value"
1249,"High Value"
1250,"Medium Value"
1251,"Medium Value"
1252,"Medium Value"
1253,"High Value"
1254,"Medium Value"
1255,"High Value"
1256,"High Value"
1257,"Low Value"
1258,"Medium Value"
1259,"Medium Value"
1260,"High Value"
1261,"Medium Value"
1262,"High Value"
1263,"High Value"
1264,"High Value"
1265,"High Value"
1266,"High Value"
1267,"Medium Value"
1268,"Medium Value"
1269,"Medium Value"
1272,"High Value"
1273,"High Value"
1274,"Medium Value"
1275,"Medium Value"
1276,"High Value"
1277,"High Value"
1278,"High Value"
1279,"Medium Value"
1280,"High Value"
1281,"Medium Value"
1282,"Medium Value"
1284,"Medium Value"
1285,"Medium Value"
1286,"Medium Value"
1287,"High Value"
1288,"Medium Value"
1291,"Low Value"
1294,"High Value"
1295,"High Value"
1296,"High Value"
1297,"High Value"
1298,"High Value"
1299,"Medium Value"
1301,"High Value"
1303,"Medium Value"
1304,"Medium Value"
1305,"High Value"
1306,"Medium Value"
1307,"Medium Value"
1308,"Medium Value"
1309,"Low Value"
1310,"High Value"
1311,"Medium Value"
1312,"Medium Value"
1313,"Medium Value"
1314,"Medium Value"
1315,"Medium Value"
1317,"Medium Value"
1318,"Medium Value"
1319,"High Value"
1320,"Medium Value"
1321,"Medium Value"
1322,"High Value"
1323,"High Value"
1324,"High Value"
1325,"Medium Value"
1326,"High Value"
1327,"Medium Value"
1328,"High Value"
1330,"High Value"
1333,"Medium Value"
1334,"Medium Value"
1335,"Medium Value"
1338,"Medium Value"
1339,"High Value"
1340,"High Value"
1341,"High Value"
1343,"High Value"
1344,"Medium Value"
1346,"Medium Value"
1347,"Low Value"
1348,"Medium Value"
1349,"High Value"
1351,"High Value"
1352,"Low Value"
1353,"Low Value"
1354,"Medium Value"
1355,"High Value"
1356,"High Value"
1357,"Medium Value"
1358,"Medium Value"
1359,"High Value"
1361,"Medium Value"
1362,"Medium Value"
1364,"High Value"
1366,"High Value"
1367,"Medium Value"
1368,"Medium Value"
1369,"High Value"
1371,"High Value"
1372,"High Value"
1374,"Medium Value"
1375,"High Value"
1376,"Medium Value"
1377,"High Value"
1378,"High Value"
1379,"High Value"
1380,"High Value"
1381,"Medium Value"
1382,"High Value"
1383,"High Value"
1384,"Medium Value"
1385,"Medium Value"
1387,"Medium Value"
1388,"High Value"
1389,"Medium Value"
1391,"Medium Value"
1392,"Medium Value"
1393,"High Value"
1394,"High Value"
1395,"Medium Value"
1396,"High Value"
1397,"Medium Value"
1398,"Medium Value"
1399,"High Value"
1401,"Medium Value"
1402,"Low Value"
1403,"Medium Value"
1405,"High Value"
1406,"Medium Value"
1407,"Medium Value"
1408,"High Value"
1409,"Medium Value"
1410,"Medium Value"
1413,"Medium Value"
1414,"Medium Value"
1415,"Medium Value"
1416,"High Value"
1418,"High Value"
1419,"Medium Value"
1420,"High Value"
1421,"Low Value"
1422,"High Value"
1423,"High Value"
1424,"Medium Value"
1425,"High Value"
1427,"Medium Value"
1428,"High Value"
1429,"Medium Value"
1430,"Medium Value"
1431,"High Value"
1432,"High Value"
1433,"Low Value"
1434,"Medium Value"
1435,"Medium Value"
1436,"High Value"
1437,"Low Value"
1438,"Medium Value"
1439,"High Value"
1440,"High Value"
1441,"Medium Value"
1443,"Medium Value"
1444,"Low Value"
1445,"Medium Value"
1447,"High Value"
1448,"High Value"
1449,"Medium Value"
1450,"Medium Value"
1451,"High Value"
1452,"Low Value"
1453,"Medium Value"
1454,"Low Value"
1455,"Medium Value"
1456,"High Value"
1457,"High Value"
1458,"Medium Value"
1459,"Medium Value"
1460,"High Value"
1462,"High Value"
1464,"Medium Value"
1466,"Medium Value"
1467,"Low Value"
1468,"Low Value"
1469,"Low Value"
1470,"Medium Value"
1471,"High Value"
1473,"Low Value"
1474,"Medium Value"
1475,"High Value"
1476,"High Value"
1477,"High Value"
1478,"Medium Value"
1479,"Medium Value"
1480,"High Value"
1481,"Medium Value"
1482,"Medium Value"
1483,"High Value"
1484,"High Value"
1485,"Medium Value"
1486,"High Value"
1488,"Low Value"
1489,"Low Value"
1491,"High Value"
1493,"High Value"
1494,"High Value"
1495,"Medium Value"
1496,"Medium Value"
1497,"High Value"
1498,"High Value"
1499,"High Value"
1500,"High Value"
1501,"High Value"
1502,"Medium Value"
1504,"High Value"
1505,"High Value"
1507,"Medium Value"
1509,"Medium Value"
1510,"High Value"
1512,"Medium Value"
1513,"High Value"
1514,"Low Value"
1515,"High Value"
1517,"Medium Value"
1518,"Medium Value"
1519,"Medium Value"
1521,"Medium Value"
1522,"Medium Value"
1523,"Medium Value"
1524,"Medium Value"
1530,"High Value"
1531,"High Value"
1532,"High Value"
1533,"Medium Value"
1534,"Medium Value"
1535,"Medium Value"
1536,"Medium Value"
1537,"Medium Value"
1538,"Medium Value"
1539,"Low Value"
1540,"High Value"
1541,"Low Value"
1542,"Medium Value"
1543,"High Value"
1544,"Medium Value"
1545,"Medium Value"
1546,"High Value"
1547,"Medium Value"
1548,"Medium Value"
1549,"Medium Value"
1550,"High Value"
1551,"High Value"
1553,"Medium Value"
1554,"Medium Value"
1555,"High Value"
1556,"Medium Value"
1558,"High Value"
1560,"High Value"
1562,"High Value"
1563,"Medium Value"
1564,"Medium Value"
1566,"Medium Value"
1567,"Medium Value"
1568,"High Value"
1569,"Medium Value"
1570,"High Value"
1571,"Medium Value"
1572,"Low Value"
1573,"Medium Value"
1574,"Medium Value"
1575,"Medium Value"
1576,"High Value"
1577,"High Value"
1578,"Medium Value"
1579,"Medium Value"
1583,"Medium Value"
1584,"Medium Value"
1585,"High Value"
1586,"Medium Value"
1587,"Medium Value"
1589,"Medium Value"
1591,"High Value"
1592,"Medium Value"
1594,"Medium Value"
1595,"High Value"
1596,"High Value"
1597,"High Value"
1599,"Medium Value"
1600,"High Value"
1601,"High Value"
1602,"Medium Value"
1603,"High Value"
1605,"Medium Value"
1606,"Medium Value"
1607,"Low Value"
1608,"High Value"
1609,"Low Value"
1610,"High Value"
1611,"Low Value"
1612,"High Value"
1613,"Medium Value"
1614,"High Value"
1615,"Medium Value"
1616,"High Value"
1618,"Medium Value"
1619,"High Value"
1620,"Medium Value"
1621,"Low Value"
1622,"Medium Value"
1623,"Medium Value"
1624,"Medium Value"
1626,"Medium Value"
1627,"High Value"
1628,"Medium Value"
1630,"Medium Value"
1631,"Medium Value"
1632,"Medium Value"
1633,"High Value"
1634,"Medium Value"
1637,"High Value"
1638,"Medium Value"
1639,"High Value"
1640,"High Value"
1641,"High Value"
1642,"High Value"
1643,"High Value"
1644,"High Value"
1645,"High Value"
1646,"High Value"
1647,"High Value"
1648,"Medium Value"
1649,"Low Value"
1650,"Medium Value"
1651,"High Value"
1652,"High Value"
1653,"High Value"
1655,"Medium Value"
1656,"Medium Value"
1657,"Medium Value"
1659,"Medium Value"
1660,"Medium Value"
1661,"High Value"
1662,"Medium Value"
1663,"Medium Value"
1664,"Medium Value"
1665,"Medium Value"
1666,"Low Value"
1667,"Medium Value"
1668,"Medium Value"
1669,"High Value"
1670,"Medium Value"
1671,"Medium Value"
1672,"High Value"
1673,"High Value"
1674,"High Value"
1675,"Medium Value"
1680,"Medium Value"
1682,"High Value"
1684,"High Value"
1685,"Medium Value"
1686,"High Value"
1687,"High Value"
1688,"Medium Value"
1690,"Medium Value"
1691,"High Value"
1692,"High Value"
1693,"Medium Value"
1696,"Medium Value"
1697,"High Value"
1698,"Medium Value"
1699,"High Value"
1700,"High Value"
1702,"Medium Value"
1703,"High Value"
1704,"Medium Value"
1706,"Low Value"
1707,"Medium Value"
1709,"Medium Value"
1710,"High Value"
1711,"High Value"
1712,"High Value"
1713,"Medium Value"
1714,"Low Value"
1715,"Medium Value"
1716,"Medium Value"
1717,"High Value"
1718,"High Value"
1719,"High Value"
1721,"Medium Value"
1722,"Low Value"
1723,"High Value"
1724,"Medium Value"
1725,"High Value"
1726,"Low Value"
1727,"Low Value"
1729,"Medium Value"
1732,"High Value"
1733,"Medium Value"
1734,"High Value"
1735,"High Value"
1737,"Medium Value"
1738,"Medium Value"
1739,"Medium Value"
1740,"High Value"
1741,"Medium Value"
1742,"Low Value"
1743,"Low Value"
1744,"Medium Value"
1745,"High Value"
1746,"High Value"
1747,"Medium Value"
1748,"Medium Value"
1749,"High Value"
1750,"High Value"
1751,"Low Value"
1752,"High Value"
1753,"High Value"
1754,"High Value"
1755,"Medium Value"
1756,"Medium Value"
1757,"High Value"
1759,"High Value"
1760,"Medium Value"
1761,"High Value"
1762,"Medium Value"
1763,"Medium Value"
1764,"High Value"
1765,"Medium Value"
1766,"Medium Value"
1767,"Low Value"
1768,"Medium Value"
1769,"High Value"
1770,"High Value"
1772,"Medium Value"
1773,"Medium Value"
1774,"Medium Value"
1775,"High Value"
1778,"Medium Value"
1780,"Medium Value"
1781,"Medium Value"
1782,"High Value"
1783,"Medium Value"
1784,"Low Value"
1785,"High Value"
1786,"High Value"
1787,"Medium Value"
1790,"High Value"
1794,"High Value"
1795,"Medium Value"
1796,"Medium Value"
1797,"High Value"
1798,"Medium Value"
1799,"Medium Value"
1800,"Medium Value"
1801,"Medium Value"
1802,"Medium Value"
1803,"High Value"
1805,"Medium Value"
1807,"High Value"
1809,"Low Value"
1810,"Low Value"
1811,"High Value"
1812,"Medium Value"
1813,"Medium Value"
1814,"Medium Value"
1815,"High Value"
1816,"Medium Value"
1817,"High Value"
1818,"High Value"
1819,"High Value"
1820,"High Value"
1821,"Low Value"
1823,"Medium Value"
1824,"High Value"
1826,"High Value"
1828,"High Value"
1829,"Medium Value"
1831,"Medium Value"
1832,"Medium Value"
1833,"Medium Value"
1834,"High Value"
1835,"High Value"
1836,"Medium Value"
1837,"Medium Value"
1838,"High Value"
1839,"High Value"
1840,"Medium Value"
1841,"Medium Value"
1842,"High Value"
1843,"Medium Value"
1844,"Medium Value"
1845,"High Value"
1846,"Medium Value"
1847,"Medium Value"
1848,"High Value"
1849,"High Value"
1850,"Medium Value"
1851,"Low Value"
1852,"High Value"
1854,"Medium Value"
1855,"Medium Value"
1857,"High Value"
1858,"Medium Value"
1859,"Medium Value"
1860,"High Value"
1862,"High Value"
1864,"Medium Value"
1866,"Medium Value"
1867,"Medium Value"
1868,"Medium Value"
1869,"High Value"
1870,"Low Value"
1871,"High Value"
1872,"High Value"
1873,"Medium Value"
1874,"Medium Value"
1875,"High Value"
1876,"High Value"
1877,"High Value"
1878,"Medium Value"
1879,"High Value"
1880,"Medium Value"
1881,"High Value"
1882,"High Value"
1883,"Medium Value"
1885,"Medium Value"
1886,"High Value"
1887,"High Value"
1888,"High Value"
1889,"High Value"
1890,"Medium Value"
1891,"High Value"
1892,"Low Value"
1893,"High Value"
1894,"High Value"
1895,"High Value"
1896,"Medium Value"
1897,"Medium Value"
1898,"High Value"
1899,"High Value"
1901,"Medium Value"
1902,"Medium Value"
1903,"High Value"
1904,"Medium Value"
1906,"Medium Value"
1907,"Medium Value"
1908,"High Value"
1909,"Medium Value"
1910,"High Value"
1911,"Medium Value"
1912,"Medium Value"
1914,"High Value"
1915,"High Value"
1916,"High Value"
1917,"High Value"
1918,"High Value"
1920,"Medium Value"
1921,"Medium Value"
1922,"Medium Value"
1923,"Low Value"
1924,"Medium Value"
1925,"Medium Value"
1926,"Medium Value"
1927,"Medium Value"
1928,"Medium Value"
1929,"Low Value"
1930,"Medium Value"
1931,"Medium Value"
1932,"Low Value"
1933,"Medium Value"
1934,"High Value"
1935,"Medium Value"
1936,"Medium Value"
1937,"Medium Value"
1938,"Medium Value"
1939,"Medium Value"
1940,"Low Value"
1941,"High Value"
1942,"High Value"
1943,"Medium Value"
1944,"Medium Value"
1945,"Medium Value"
1946,"Medium Value"
1947,"Medium Value"
1948,"Medium Value"
1949,"Medium Value"
1950,"Medium Value"
1951,"Medium Value"
1952,"High Value"
1953,"High Value"
1954,"Medium Value"
1955,"Medium Value"
1957,"High Value"
1958,"Medium Value"
1959,"High Value"
1960,"High Value"
1962,"Medium Value"
1963,"High Value"
1965,"High Value"
1966,"Medium Value"
1967,"Medium Value"
1969,"Medium Value"
1970,"Medium Value"
1971,"High Value"
1972,"High Value"
1973,"Low Value"
1975,"High Value"
1976,"Medium Value"
1977,"Medium Value"
1978,"Medium Value"
1980,"Medium Value"
1981,"Medium Value"
1982,"High Value"
1983,"High Value"
1984,"Medium Value"
1985,"High Value"
1986,"High Value"
1988,"Medium Value"
1989,"Medium Value"
1990,"High Value"
1991,"Low Value"
1993,"High Value"
1994,"High Value"
1996,"High Value"
1997,"High Value"
1998,"Medium Value"
1999,"Medium Value"
2000,"Medium Value"
2001,"High Value"
2002,"High Value"
2003,"Medium Value"
2005,"Medium Value"
2006,"Medium Value"
2007,"Medium Value"
2008,"Medium Value"
2009,"Low Value"
2011,"Medium Value"
2013,"Medium Value"
2015,"Medium Value"
2016,"High Value"
2017,"Medium Value"
2018,"Medium Value"
2020,"High Value"
2021,"Medium Value"
2022,"High Value"
2023,"Low Value"
2025,"High Value"
2026,"Medium Value"
2028,"Medium Value"
2029,"Medium Value"
2030,"Medium Value"
2031,"High Value"
2034,"High Value"
2035,"Medium Value"
2036,"High Value"
2037,"Medium Value"
2038,"Medium Value"
2039,"High Value"
2040,"High Value"
2041,"Medium Value"
2042,"High Value"
2044,"Medium Value"
2045,"High Value"
2046,"Medium Value"
2047,"High Value"
2048,"High Value"
2049,"High Value"
2050,"Medium Value"
2052,"Medium Value"
2053,"Medium Value"
2054,"High Value"
2055,"Low Value"
2056,"Medium Value"
2058,"High Value"
2059,"Medium Value"
2060,"Medium Value"
2061,"High Value"
2062,"High Value"
2063,"High Value"
2064,"High Value"
2065,"Medium Value"
2069,"High Value"
2070,"High Value"
2071,"Medium Value"
2072,"Medium Value"
2073,"Low Value"
2074,"High Value"
2075,"Medium Value"
2077,"Medium Value"
2078,"Medium Value"
2079,"Medium Value"
2080,"Medium Value"
2081,"Low Value"
2082,"Medium Value"
2083,"High Value"
2084,"Low Value"
2086,"High Value"
2087,"Medium Value"
2088,"Low Value"
2089,"Medium Value"
2090,"High Value"
2092,"Medium Value"
2093,"Medium Value"
2094,"High Value"
2095,"Medium Value"
2096,"High Value"
2097,"High Value"
2098,"Medium Value"
2099,"High Value"
2100,"Medium Value"
2102,"High Value"
2103,"High Value"
2104,"High Value"
2105,"Medium Value"
2106,"High Value"
2107,"Low Value"
2108,"High Value"
2109,"High Value"
2110,"Medium Value"
2113,"High Value"
2114,"Medium Value"
2116,"High Value"
2117,"Medium Value"
2118,"Medium Value"
2119,"Medium Value"
2120,"Medium Value"
2121,"Medium Value"
2122,"Low Value"
2123,"Medium Value"
2124,"Medium Value"
2125,"High Value"
2126,"Medium Value"
2127,"High Value"
2130,"Medium Value"
2131,"Low Value"
2132,"High Value"
2133,"High Value"
2134,"High Value"
2136,"Medium Value"
2137,"High Value"
2138,"Medium Value"
2139,"Medium Value"
2140,"Medium Value"
2142,"High Value"
2143,"Medium Value"
2144,"High Value"
2146,"Medium Value"
2148,"Medium Value"
2149,"Medium Value"
2150,"Medium Value"
2152,"Low Value"
2153,"High Value"
2154,"Medium Value"
2155,"High Value"
2156,"High Value"
2157,"Medium Value"
2158,"High Value"
2160,"High Value"
2161,"Medium Value"
2162,"High Value"
2163,"High Value"
2164,"Medium Value"
2165,"High Value"
2166,"High Value"
2167,"Medium Value"
2168,"High Value"
2169,"High Value"
2172,"High Value"
2173,"High Value"
2174,"Medium Value"
2175,"Medium Value"
2176,"Medium Value"
2178,"Medium Value"
2180,"Medium Value"
2181,"Medium Value"
2182,"High Value"
2183,"Medium Value"
2185,"Medium Value"
2187,"Medium Value"
2188,"Medium Value"
2189,"Medium Value"
2190,"Medium Value"
2191,"Medium Value"
2192,"Medium Value"
2193,"Medium Value"
2194,"High Value"
2195,"High Value"
2196,"High Value"
2198,"High Value"
2199,"Low Value"
2200,"Medium Value"
2202,"Medium Value"
2204,"High Value"
2206,"High Value"
2207,"Low Value"
2208,"Medium Value"
2209,"Medium Value"
2210,"Medium Value"
2212,"High Value"
2213,"High Value"
2215,"High Value"
2217,"Medium Value"
2218,"Medium Value"
2219,"High Value"
2220,"Medium Value"
2222,"High Value"
2225,"Medium Value"
2226,"Medium Value"
2227,"Medium Value"
2228,"High Value"
2229,"High Value"
2230,"High Value"
2231,"Medium Value"
2232,"High Value"
2233,"Medium Value"
2234,"High Value"
2236,"Medium Value"
2237,"High Value"
2238,"Medium Value"
2240,"Medium Value"
2241,"Medium Value"
2243,"Medium Value"
2244,"High Value"
2245,"High Value"
2246,"Medium Value"
2248,"Low Value"
2249,"Medium Value"
2250,"High Value"
2251,"High Value"
2252,"Medium Value"
2253,"High Value"
2255,"Medium Value"
2256,"Medium Value"
2257,"Medium Value"
2258,"High Value"
2261,"Medium Value"
2262,"High Value"
2264,"High Value"
2265,"Medium Value"
2266,"Medium Value"
2267,"High Value"
2268,"High Value"
2269,"Medium Value"
2270,"High Value"
2271,"Medium Value"
2272,"High Value"
2273,"Low Value"
2274,"High Value"
2275,"High Value"
2276,"Low Value"
2279,"Medium Value"
2280,"Low Value"
2282,"Medium Value"
2283,"Medium Value"
2284,"Medium Value"
2285,"High Value"
2287,"High Value"
2288,"Medium Value"
2289,"Low Value"
2290,"High Value"
2291,"High Value"
2292,"Medium Value"
2294,"High Value"
2295,"Medium Value"
2296,"Low Value"
2297,"Medium Value"
2298,"High Value"
2300,"High Value"
2301,"High Value"
2302,"Medium Value"
2303,"Medium Value"
2304,"Medium Value"
2307,"Medium Value"
2308,"Medium Value"
2309,"High Value"
2310,"High Value"
2311,"Medium Value"
2312,"High Value"
2314,"Medium Value"
2315,"High Value"
2316,"Medium Value"
2317,"Medium Value"
2318,"High Value"
2320,"High Value"
2321,"Medium Value"
2322,"Medium Value"
2323,"Medium Value"
2324,"High Value"
2326,"High Value"
2328,"Low Value"
2329,"High Value"
2330,"Medium Value"
2333,"High Value"
2334,"High Value"
2335,"Medium Value"
2336,"High Value"
2337,"Medium Value"
2338,"Medium Value"
2339,"Medium Value"
2341,"High Value"
2342,"Medium Value"
2343,"High Value"
2345,"High Value"
2346,"High Value"
2347,"Medium Value"
2348,"Medium Value"
2349,"High Value"
2350,"High Value"
2352,"High Value"
2353,"Medium Value"
2354,"Medium Value"
2356,"High Value"
2358,"Medium Value"
2359,"High Value"
2360,"Medium Value"
2361,"High Value"
2362,"Medium Value"
2363,"Medium Value"
2364,"High Value"
2365,"High Value"
2366,"Medium Value"
2367,"High Value"
2368,"Medium Value"
2369,"Medium Value"
2371,"Medium Value"
2373,"Medium Value"
2375,"High Value"
2376,"High Value"
2377,"Medium Value"
2380,"Medium Value"
2381,"High Value"
2382,"Medium Value"
2383,"High Value"
2386,"High Value"
2387,"Low Value"
2388,"High Value"
2389,"Medium Value"
2390,"Medium Value"
2391,"High Value"
2392,"High Value"
2393,"High Value"
2395,"Medium Value"
2396,"Medium Value"
2398,"Medium Value"
2399,"Medium Value"
2402,"High Value"
2403,"High Value"
2405,"High Value"
2406,"Medium Value"
2407,"High Value"
2408,"Medium Value"
2409,"High Value"
2410,"High Value"
2411,"High Value"
2412,"High Value"
2414,"High Value"
2415,"High Value"
2416,"High Value"
2417,"High Value"
2419,"High Value"
2421,"High Value"
2422,"High Value"
2423,"Medium Value"
2424,"High Value"
2425,"High Value"
2426,"Medium Value"
2427,"Medium Value"
2428,"Medium Value"
2429,"Medium Value"
2430,"Low Value"
2431,"High Value"
2433,"Medium Value"
2434,"Medium Value"
2435,"Medium Value"
2437,"Medium Value"
2438,"Medium Value"
2439,"Medium Value"
2440,"Medium Value"
2441,"Medium Value"
2443,"Medium Value"
2444,"High Value"
2445,"Medium Value"
2446,"Medium Value"
2447,"Medium Value"
2448,"High Value"
2449,"Medium Value"
2450,"High Value"
2451,"Medium Value"
2453,"High Value"
2456,"Low Value"
2457,"Medium Value"
2458,"High Value"
2459,"Low Value"
2461,"High Value"
2462,"Medium Value"
2463,"High Value"
2464,"Medium Value"
2465,"High Value"
2467,"Medium Value"
2468,"High Value"
2469,"High Value"
2470,"High Value"
2471,"Low Value"
2474,"Low Value"
2476,"High Value"
2477,"High Value"
2478,"High Value"
2479,"High Value"
2480,"High Value"
2481,"High Value"
2482,"High Value"
2483,"Medium Value"
2484,"Medium Value"
2485,"Medium Value"
2486,"Low Value"
2487,"Low Value"
2488,"Low Value"
2489,"Medium Value"
2491,"Low Value"
2492,"Medium Value"
2493,"High Value"
2494,"High Value"
2496,"High Value"
2497,"Medium Value"
2500,"Medium Value"
2501,"Medium Value"
2502,"High Value"
2503,"Low Value"
2505,"High Value"
2506,"High Value"
2507,"High Value"
2509,"High Value"
2511,"High Value"
2512,"Medium Value"
2514,"Medium Value"
2515,"Medium Value"
2516,"Medium Value"
2517,"Low Value"
2518,"High Value"
2519,"Medium Value"
2520,"Medium Value"
2521,"High Value"
2522,"High Value"
2523,"High Value"
2524,"High Value"
2525,"Medium Value"
2526,"High Value"
2527,"High Value"
2528,"Medium Value"
2529,"High Value"
2531,"Medium Value"
2533,"High Value"
2534,"Low Value"
2535,"High Value"
2536,"Medium Value"
2538,"Low Value"
2540,"Medium Value"
2542,"High Value"
2543,"Medium Value"
2544,"High Value"
2546,"High Value"
2547,"Medium Value"
2548,"Medium Value"
2549,"High Value"
2551,"Medium Value"
2552,"High Value"
2553,"Medium Value"
2554,"Low Value"
2555,"Low Value"
2556,"Medium Value"
2558,"Low Value"
2559,"Low Value"
2560,"Medium Value"
2562,"High Value"
2563,"Medium Value"
2564,"High Value"
2565,"High Value"
2567,"Medium Value"
2570,"High Value"
2571,"High Value"
2572,"Medium Value"
2573,"High Value"
2574,"Medium Value"
2575,"Medium Value"
2576,"Medium Value"
2577,"Medium Value"
2578,"Medium Value"
2579,"Medium Value"
2581,"Medium Value"
2582,"High Value"
2584,"High Value"
2585,"Medium Value"
2587,"Medium Value"
2588,"High Value"
2590,"High Value"
2592,"Medium Value"
2593,"Medium Value"
2595,"High Value"
2596,"High Value"
2598,"Low Value"
2599,"Medium Value"
2600,"High Value"
2601,"Medium Value"
2603,"Medium Value"
2604,"Medium Value"
2605,"High Value"
2607,"Medium Value"
2608,"Medium Value"
2609,"High Value"
2610,"Medium Value"
2612,"Low Value"
2613,"Low Value"
2614,"High Value"
2615,"High Value"
2616,"Medium Value"
2617,"Medium Value"
2618,"Medium Value"
2620,"Medium Value"
2622,"High Value"
2623,"High Value"
2624,"Medium Value"
2625,"High Value"
2626,"High Value"
2627,"Medium Value"
2629,"Medium Value"
2630,"Low Value"
2631,"Medium Value"
2632,"Medium Value"
2633,"High Value"
2634,"Medium Value"
2635,"High Value"
2636,"High Value"
2637,"High Value"
2638,"Low Value"
2639,"High Value"
2640,"High Value"
2641,"High Value"
2643,"Medium Value"
2644,"High Value"
2645,"Medium Value"
2646,"High Value"
2647,"Low Value"
2651,"Medium Value"
2652,"Medium Value"
2654,"High Value"
2655,"High Value"
2656,"Medium Value"
2658,"Medium Value"
2659,"High Value"
2660,"Medium Value"
2661,"High Value"
2662,"Medium Value"
2663,"High Value"
2664,"Low Value"
2665,"Low Value"
2666,"Medium Value"
2667,"Medium Value"
2668,"High Value"
2669,"Medium Value"
2670,"High Value"
2671,"Low Value"
2672,"Low Value"
2673,"Medium Value"
2674,"High Value"
2675,"Medium Value"
2677,"High Value"
2678,"High Value"
2679,"High Value"
2680,"High Value"
2681,"High Value"
2682,"High Value"
2684,"High Value"
2685,"Medium Value"
2686,"Medium Value"
2687,"Medium Value"
2688,"Medium Value"
2689,"High Value"
2690,"Low Value"
2691,"Medium Value"
2692,"Medium Value"
2693,"Medium Value"
2694,"High Value"
2696,"High Value"
2697,"High Value"
2698,"Medium Value"
2699,"Medium Value"
2701,"High Value"
2702,"High Value"
2703,"Medium Value"
